Date,Time-series Factor Momentum
7/1/08,-0.024129307
8/1/08,0.021619361
9/1/08,0.02422582
10/1/08,0.023157824
11/1/08,0.01562987
12/1/08,0.001329595
1/1/09,-0.022166954
2/1/09,0.012326192
3/1/09,-0.013942584
4/1/09,-0.021779358
5/1/09,-0.031587386
6/1/09,0.026895169
7/1/09,-0.014747736
8/1/09,-0.00955195
9/1/09,-0.00656087
10/1/09,0.004645899
11/1/09,-0.003888024
12/1/09,0.015369344
1/1/10,-0.010943379
2/1/10,0.007795165
3/1/10,0.007826921
4/1/10,0.019881234
5/1/10,-0.009844804
6/1/10,-0.023029458
7/1/10,0.000166427
8/1/10,0.006679922
9/1/10,0.012703569
10/1/10,0.010548568
11/1/10,0.01272463
12/1/10,-0.005037468
1/1/11,0.00690459
2/1/11,0.007114972
3/1/11,0.00888867
4/1/11,0.003219664
5/1/11,0.002437652
6/1/11,0.001954048
7/1/11,0.002477546
8/1/11,0.010274449
9/1/11,0.017471827
10/1/11,-0.030153821
11/1/11,0.019965338
12/1/11,0.003173357
1/1/12,-0.029887364
2/1/12,0.002685154
3/1/12,0.022745632
4/1/12,0.008390936
5/1/12,0.026032272
6/1/12,0.000762814
7/1/12,0.010417339
8/1/12,-0.007959543
9/1/12,-0.00058099
10/1/12,0.011091192
11/1/12,-0.007217115
12/1/12,-0.003911494
1/1/13,0.004330481
2/1/13,0.008433935
3/1/13,0.012707671
4/1/13,0.004439858
5/1/13,0.009111484
6/1/13,0.010023665
7/1/13,0.006403432
8/1/13,-0.010216764
9/1/13,-0.000447892
10/1/13,0.007870741
11/1/13,0.011709208
12/1/13,-0.006556014
1/1/14,-0.012738256
2/1/14,1.87E-05
3/1/14,0.011047013
4/1/14,-0.014795085
5/1/14,-0.002951548
6/1/14,-0.02044834
7/1/14,-0.003013866
8/1/14,-8.57E-05
9/1/14,0.015229002
10/1/14,-0.002750058
11/1/14,0.01632623
12/1/14,0.002507004
1/1/15,-0.004988101
2/1/15,-0.006181726
3/1/15,-0.003576388
4/1/15,-0.001811974
5/1/15,0.021439679
6/1/15,0.016358516
7/1/15,0.02435989
8/1/15,0.003888894
9/1/15,0.036919588
10/1/15,-0.004794104
11/1/15,-0.00272329
12/1/15,0.017312723
1/1/16,0.016718567
2/1/16,0.008073386
3/1/16,-0.017216562
4/1/16,-0.026501957
5/1/16,0.001816634
6/1/16,-0.002070532
7/1/16,-0.001180771
8/1/16,0.001762936
9/1/16,-0.006200301
10/1/16,0.012053982
11/1/16,0.025260765
12/1/16,0.016675259
1/1/17,-0.012856514
2/1/17,-0.013206893
3/1/17,-0.005109426
4/1/17,0.002149898
5/1/17,-0.001937464
6/1/17,0.001086328
7/1/17,-0.006227319
8/1/17,-0.010817322
9/1/17,-0.006002882
10/1/17,0.003109566
11/1/17,0.017354643
12/1/17,-0.001770802
